tabla_id;szo_0;szam_0;szo_1;szam_1;szo_2;szam_2;szo_3;szam_3;szo_4;szam_4;szo_5;szam_5;szo_6;szam_6;szo_7;szam_7;szo_8;szam_8;szo_9;szam_9
67;nélkülözhetetlen;5;ásványi;2;kémiai;3;termesztés;8;ásványi;2;kémiai;3;eszik;4;élettelen;2;fűszerez;3;rost;3
68;gyertya;3;kondenzációs;2;levegő;3;gyönyörű;5;csokoládés;2;levegő;3;megtölt;5;élettelen;2;hamu;3;lehel;5
69;megmaradt;6;elterülő;2;lakodalmas;3;hegyoldal;6;gerenda;2;lakodalmas;3;állított;6;halad;2;parancsoló;3;állított;6
70;beszerző;5;imperialista;2;nagyhatalom;3;hódító;5;kagyló;2;vendéglő;3;pultos;5;megakadályoz;2;korona;3;pultos;5
71;megszállás;5;szovjet;2;gyanúsított;3;halálos;6;szovjet;2;bevetés;3;szabadít;5;ezer;2;megakadályoz;3;szabadít;5
72;váltó;6;tiszti;2;ügyész;3;váltó;6;tiszti;2;ügyész;3;keresztez;4;átvisz;2;halad;3;színtelen;3
73;ruhás;6;elnökhelyettes;2;holló;3;ruhás;6;apró;2;holló;3;spirális;5;pici;2;elkészít;3;spirális;5
74;texasi;8;vaddisznó;2;sajt;3;texasi;8;kókuszos;2;tenyészt;3;karika;5;pocakos;2;pici;3;kacsa;4
75;áztat;6;illatos;2;díszítő;3;áztat;6;illatos;2;présel;3;csillog;6;tűzálló;2;adagol;3;sárgás;6
76;képviselt;5;heavy;2;végrehajtó;3;képviselt;5;vető;2;csapódik;3;koncepciós;4;pocakos;2;kifolyó;3;vető;3
77;mozzanat;6;start;2;megtalál;3;mozzanat;6;start;2;titulál;3;púpos;6;összerak;2;mozgás;3;púpos;6
78;business;7;szennyez;2;bükki;3;business;7;szennyez;2;bükki;3;kétéltű;4;tűzálló;2;fűszerez;3;kétéltű;4
79;teli;3;teljesítőképesség;2;ukrán;3;elhangzik;5;teljesítőképesség;2;teli;3;vérvörös;6;kidolgozott;2;gennyes;3;vérvörös;6
80;szépséges;4;szent;2;jövedelem;3;jövedelem;5;mezei;2;bokor;3;marok;6;nacionalista;2;mártír;3;fodros;6
81;bead;5;többes;2;számú;3;bead;5;tizenhatos;2;számú;3;feszített;4;kidolgozott;2;fáradhatatlan;3;formáz;4
82;importál;4;viharos;2;ábrázoló;3;rajzol;5;viharos;2;ábrázoló;3;tüzes;4;tűzálló;2;sivatagi;3;tüzes;4
83;éber;4;elérhető;2;vándorló;3;éber;4;teleszkópos;2;vándorló;3;panoráma;4;tripla;2;fáradhatatlan;3;százéves;4
84;vétel;4;lelő;2;felhasznál;3;meglátás;6;lelő;2;magvas;3;termetes;4;fordulatos;2;felolvasó;3;pirítós;3
85;feltöltött;6;iratkozik;2;másol;3;feltöltött;6;iratkozik;2;másol;3;távirányító;4;fordulatos;2;parancsoló;3;távirányító;4
86;pusztul;6;tinta;2;tűzvész;3;pusztul;6;tinta;2;tűzvész;3;kígyó;5;hosszú;2;ordas;3;fejtető;4
87;begyűjtés;5;alvilág;2;váró;3;csapódik;4;kóbor;2;váró;3;lévõ;4;halad;2;jelzésű;3;testű;4
88;őrült;4;belépés;2;póló;3;múlás;5;vérvörös;2;póló;3;gyöngy;6;áradás;2;fehérítő;3;gyöngy;6
89;alapul;5;rajzol;2;kinevezés;3;kinevezés;5;ránt;2;felbont;3;karcol;5;összerak;2;halad;3;karcol;5
90;vetít;4;gyülekezet;2;faragott;3;pünkösdi;4;kinyílik;2;faragott;3;mennyezet;5;átvisz;2;táncol;3;szirom;4
91;valódi;7;koronás;2;karkötő;3;bölcső;8;koronás;2;karkötő;3;kiver;6;hali;2;közmondás;3;fekete;6
92;tiszti;3;érdemrend;2;befektetési;3;gazdagodik;6;érdemrend;2;tiszti;3;piros;8;népszabadság;2;zsák;3;ezüst;6
93;királynő;5;alkalmi;2;csipkés;3;királynő;5;alkalmi;2;csipkés;3;feszít;6;hall;2;pocakos;3;királynő;5
94;szikra;3;éget;2;hatalmas;3;rendű;5;éget;2;szikra;3;szaggat;4;gennyes;2;berendezett;3;robbant;4
95;hátrál;4;levet;2;gyalogol;3;birtokos;6;papucs;2;kopog;3;lenyom;5;átvisz;2;optikai;3;felhúz;5
96;passzol;5;visel;2;párosít;3;lukas;6;visel;2;párosít;3;átlátszó;6;gomb;2;kiszabadít;3;átlátszó;6
97;műfaji;4;bevételi;2;kiszabadít;3;bosszú;5;bevételi;2;tündér;3;lázadó;5;átvisz;2;táncol;3;részeges;5
98;képzőművész;5;autodidakta;2;hercegnő;3;telekommunikációs;5;autodidakta;2;hercegnő;3;tündér;5;viszonoz;2;sakk;3;tündér;5
99;fakad;5;fogan;2;évforduló;3;pezsgő;5;fogan;2;elektronika;3;picike;5;pocakos;2;harmónia;3;picike;5
